pid,site,fid,age_m,sex_code,ses_z,arm_code,partner_code,content_code
P00944,1,F0348,64.0,2,1.04,B1,X2,M1
P00945,6,F0356,57.0,2,1.46,A1,X1,M1
P00946,12,F0756,59.0,1,0.31,A2,X1,M2
P00947,4,F0964,74.0,1,-0.40,A1,X1,M1
P00948,11,F0751,67.0,2,0.25,B1,X2,M1
P00949,11,F0344,53.0,1,-0.85,A1,X1,M1
P00950,3,F0423,77.0,1,0.26,B2,X2,M2
P00951,6,F0281,57.0,1,-0.09,B1,X2,M1
P00952,4,F0873,56.0,2,1.26,A2,X1,M2
P00953,5,F0616,65.0,1,-3.16,A1,X1,M1
P00954,7,F0680,62.0,2,-0.75,A2,X1,M2
P00955,10,F0965,51.0,1,-0.84,A2,X1,M2
P00956,1,F0943,67.0,2,0.54,B2,X2,M2
P00957,3,F0191,60.0,1,0.76,B1,X2,M1
P00958,7,F0759,60.0,2,-0.76,B2,X2,M2
P00959,2,F0946,75.0,1,-2.02,B2,X2,M2
P00960,4,F0039,55.0,2,0.59,A2,X1,M2
P00961,1,F0406,61.0,2,-0.68,A1,X1,M1
P00962,2,F0905,73.0,2,-1.26,B2,X2,M2
P00963,4,F0282,74.0,1,-0.48,A2,X1,M2
P00964,5,F0879,60.0,1,-0.06,A2,X1,M2
P00965,10,F1017,61.0,2,2.09,B2,X2,M2
P00966,3,F0764,66.0,2,-0.43,B1,X2,M1
P00967,4,F0198,58.0,2,-1.18,B1,X2,M1
P00968,12,F0984,63.0,1,1.43,A2,X1,M2
P00969,6,F0093,65.0,2,-0.93,A1,X1,M1
P00970,7,F0677,64.0,2,1.03,A1,X1,M1
P00971,5,F0929,66.0,1,0.20,A2,X1,M2
P00972,9,F0498,60.0,1,0.17,A1,X1,M1
P00973,8,F0705,54.0,2,-0.03,B1,X2,M1
P00974,4,F0199,61.0,1,0.25,B2,X2,M2
P00975,10,F0958,71.0,2,0.80,A1,X1,M1
P00976,9,F0437,72.0,2,-0.29,B1,X2,M1
P00977,3,F0725,73.0,1,0.77,B2,X2,M2
P00978,2,F0545,52.0,2,1.20,A2,X1,M2
P00979,12,F0160,67.0,1,0.11,B1,X2,M1
P00980,7,F0868,62.0,2,-0.15,B1,X2,M1
P00981,4,F0539,60.0,1,-1.24,A1,X1,M1
P00982,9,F0548,70.0,1,1.10,B1,X2,M1
P00983,8,F1042,48.0,1,2.64,A1,X1,M1
P00984,7,F0651,64.0,2,-0.34,A2,X1,M2
P00985,3,F0859,65.0,2,-0.64,B1,X2,M1
P00986,3,F0706,60.0,1,-1.38,B2,X2,M2
P00987,2,F0717,61.0,1,-1.71,B2,X2,M2
P00988,1,F0672,58.0,1,1.15,A1,X1,M1
P00989,12,F1041,71.0,1,1.55,A2,X1,M2
P00990,3,F0289,61.0,1,1.61,A1,X1,M1
P00991,9,F0112,56.0,2,0.60,A1,X1,M1
P00992,9,F0277,62.0,2,0.07,A2,X1,M2
P00993,2,F0425,69.0,1,1.30,B1,X2,M1
P00994,2,F0439,66.0,1,-1.49,B1,X2,M1
P00995,10,F0872,67.0,2,-0.51,A1,X1,M1
P00996,3,F0427,59.0,2,0.39,B1,X2,M1
P00997,8,F1049,53.0,1,0.62,A2,X1,M2
P00998,5,F0904,69.0,2,1.35,B2,X2,M2
P00999,2,F0502,65.0,2,1.46,B2,X2,M2
P01000,5,F0053,50.0,2,0.40,A1,X1,M1
P01001,1,F0928,66.0,2,-1.10,B2,X2,M2
P01002,9,F0092,57.0,2,1.26,B2,X2,M2
P01003,9,F0931,58.0,2,0.18,A2,X1,M2
P01004,2,F0916,68.0,2,-0.43,B2,X2,M2
P01005,2,F0485,48.0,2,-1.90,B2,X2,M2
P01006,11,F0932,60.0,1,0.15,A1,X1,M1
P01007,8,F0698,62.0,2,-0.33,A2,X1,M2
P01008,11,F0393,57.0,1,0.51,B2,X2,M2
P01009,10,F0930,72.0,1,-0.29,A1,X1,M1
P01010,5,F0835,70.0,2,-1.23,A2,X1,M2
P01011,1,F0056,60.0,2,-0.63,A1,X1,M1
P01012,1,F0914,66.0,2,0.69,B2,X2,M2
P01013,3,F0046,74.0,2,0.29,A2,X1,M2
P01014,4,F0530,57.0,1,-1.20,A1,X1,M1
P01015,4,F0321,53.0,2,-0.31,B2,X2,M2
P01016,9,F0167,57.0,2,0.44,A2,X1,M2
P01017,4,F1047,64.0,2,1.07,B2,X2,M2
P01018,10,F0632,55.0,2,-0.32,B2,X2,M2
P01019,7,F0796,65.0,1,-0.12,B1,X2,M1
P01020,1,F0063,72.0,2,0.60,B1,X2,M1
P01021,6,F0977,56.0,2,0.07,A1,X1,M1
P01022,6,F0931,63.0,2,-0.23,A2,X1,M2
P01023,11,F0487,67.0,1,0.43,A2,X1,M2
P01024,12,F0527,66.0,1,2.31,B1,X2,M1
P01025,9,F0907,67.0,1,1.87,A1,X1,M1
P01026,9,F0676,76.0,2,2.21,A2,X1,M2
P01027,9,F0674,69.0,1,-0.82,A1,X1,M1
P01028,12,F0927,66.0,1,1.05,B2,X2,M2
P01029,6,F0946,77.0,2,1.36,B2,X2,M2
P01030,8,F0610,71.0,1,-0.04,A2,X1,M2
P01031,1,F1012,62.0,2,-1.96,A1,X1,M1
P01032,9,F0273,62.0,2,0.75,A2,X1,M2
P01033,5,F0962,67.0,2,0.65,A1,X1,M1
P01034,12,F0679,64.0,1,0.30,A2,X1,M2
P01035,2,F0885,65.0,2,-0.39,A1,X1,M1
P01036,2,F0288,64.0,1,-0.57,A1,X1,M1
P01037,8,F0930,67.0,1,-1.16,A2,X1,M2
P01038,10,F0964,56.0,1,-0.49,B1,X2,M1
P01039,5,F0947,56.0,2,0.16,A2,X1,M2
P01040,6,F0899,61.0,2,-0.03,B2,X2,M2
P01041,10,F0927,60.0,1,-0.08,B2,X2,M2
P01042,5,F0655,56.0,1,-0.09,A2,X1,M2
P01043,1,F0407,48.0,2,-0.56,A1,X1,M1
P01044,1,F0473,68.0,1,-1.28,A2,X1,M2
P01045,7,F0300,51.0,2,0.37,B2,X2,M2
P01046,5,F0947,63.0,1,-1.90,B2,X2,M2
P01047,3,F0608,48.0,1,-0.64,B1,X2,M1
P01048,10,F0712,61.0,2,0.19,B1,X2,M1
P01049,5,F0731,58.0,2,0.83,B1,X2,M1
P01050,10,F0071,67.0,1,-1.59,A1,X1,M1
P01051,8,F0948,70.0,2,1.21,B2,X2,M2
P01052,12,F0838,63.0,1,-0.14,A2,X1,M2
P01053,9,F0024,68.0,1,-0.69,B1,X2,M1
P01054,2,F0537,48.0,2,-0.43,A1,X1,M1
P01055,9,F0804,60.0,1,-1.09,A2,X1,M2
P01056,2,F0766,63.0,2,0.37,A2,X1,M2
P01057,5,F0547,65.0,1,0.64,A1,X1,M1
P01058,10,F0820,77.0,1,-0.85,A2,X1,M2
P01059,1,F0681,49.0,2,0.80,B1,X2,M1
P01060,10,F0585,55.0,1,0.01,B2,X2,M2
P01061,10,F0068,75.0,2,0.51,B1,X2,M1
P01062,1,F0702,53.0,1,0.84,B1,X2,M1
P01063,11,F0936,62.0,1,-0.79,A1,X1,M1
P01064,1,F0665,52.0,2,0.41,A1,X1,M1
P01065,4,F0735,66.0,1,0.14,B1,X2,M1
P01066,7,F0551,60.0,1,0.56,A2,X1,M2
P01067,8,F0664,72.0,2,-1.40,B2,X2,M2
P01068,10,F0323,50.0,2,-1.70,A1,X1,M1
P01069,5,F0839,72.0,2,1.25,B1,X2,M1
P01070,8,F0999,65.0,1,0.51,B1,X2,M1
P01071,12,F0176,57.0,2,-0.28,B2,X2,M2
P01072,8,F0591,77.0,1,-0.20,A2,X1,M2
P01073,6,F0298,54.0,1,-0.83,B1,X2,M1
P01074,3,F0922,48.0,1,0.42,A1,X1,M1
P01075,7,F0953,73.0,1,0.69,B1,X2,M1
P01076,11,F0058,66.0,1,-0.25,B2,X2,M2
P01077,4,F0521,77.0,2,1.04,B1,X2,M1
P01078,1,F0553,48.0,2,0.46,A1,X1,M1
P01079,6,F0099,63.0,2,-0.34,A2,X1,M2
P01080,5,F0974,51.0,1,2.04,B1,X2,M1
P01081,5,F0906,63.0,1,-0.11,B1,X2,M1
P01082,5,F0430,59.0,2,1.08,B1,X2,M1
P01083,10,F0497,75.0,2,2.72,A1,X1,M1
P01084,6,F0305,65.0,1,-0.06,B2,X2,M2
P01085,9,F0944,62.0,2,-0.26,A1,X1,M1
P01086,11,F0949,58.0,1,-0.09,B1,X2,M1
P01087,10,F0959,48.0,2,-0.25,A2,X1,M2
P01088,4,F0937,61.0,2,-0.77,A2,X1,M2
P01089,11,F0788,60.0,2,-0.09,A1,X1,M1
P01090,4,F0442,48.0,1,0.21,B1,X2,M1
P01091,6,F0719,67.0,1,1.35,B1,X2,M1
P01092,7,F0230,51.0,1,-0.71,A2,X1,M2
P01093,10,F0874,64.0,1,1.78,A1,X1,M1
P01094,6,F0621,65.0,2,-1.22,B2,X2,M2
P01095,8,F0051,62.0,1,1.32,A1,X1,M1
P01096,1,F0832,63.0,2,-1.41,B2,X2,M2
P01097,3,F0507,63.0,1,-0.79,B1,X2,M1
P01098,12,F0335,64.0,2,-0.19,A2,X1,M2
P01099,6,F0445,53.0,1,-1.47,B2,X2,M2
P01100,9,F0846,62.0,1,-0.78,B2,X2,M2
P01101,6,F0992,64.0,2,-0.01,B2,X2,M2
P01102,4,F0902,63.0,1,-1.30,A2,X1,M2
P01103,4,F0762,72.0,2,1.03,B1,X2,M1
P01104,1,F0094,57.0,1,-1.41,A2,X1,M2
P01105,1,F0673,63.0,2,0.71,A2,X1,M2
P01106,3,F0066,63.0,1,0.50,B1,X2,M1
P01107,11,F1038,77.0,2,-0.01,B1,X2,M1
P01108,9,F0394,52.0,1,0.44,A1,X1,M1
P01109,1,F0484,66.0,2,1.91,B1,X2,M1
P01110,1,F0179,63.0,2,-0.27,B1,X2,M1
P01111,6,F0107,65.0,2,-1.10,B2,X2,M2
P01112,4,F0105,76.0,1,-1.00,A1,X1,M1
P01113,2,F0035,55.0,2,0.40,B2,X2,M2
P01114,2,F0349,57.0,2,2.03,A1,X1,M1
P01115,8,F0571,68.0,2,-1.09,B2,X2,M2
P01116,6,F0326,77.0,2,-0.32,A1,X1,M1
P01117,6,F0992,50.0,1,0.18,B2,X2,M2
P01118,10,F0090,57.0,2,0.04,B1,X2,M1
P01119,1,F0004,74.0,2,-1.02,B2,X2,M2
P01120,11,F0332,61.0,2,-0.12,A2,X1,M2
P01121,2,F0391,56.0,2,1.37,A1,X1,M1
P01122,3,F0089,64.0,2,-0.15,A1,X1,M1
P01123,9,F0508,57.0,2,0.21,B2,X2,M2
P01124,9,F0350,71.0,1,-0.85,A2,X1,M2
P01125,5,F0941,55.0,1,-0.79,B2,X2,M2
P01126,4,F0881,67.0,2,0.91,B1,X2,M1
P01127,12,F0190,59.0,1,-0.16,A1,X1,M1
P01128,8,F0957,54.0,2,0.88,B2,X2,M2
P01129,6,F0048,65.0,2,-0.19,A2,X1,M2
P01130,12,F1009,71.0,1,1.51,A2,X1,M2
P01131,7,F0915,61.0,2,0.33,A2,X1,M2
P01132,1,F0935,70.0,1,-0.04,B2,X2,M2
P01133,12,F0366,53.0,2,0.77,A1,X1,M1
P01134,2,F0339,65.0,1,0.64,B2,X2,M2
P01135,11,F0388,60.0,2,-0.89,A2,X1,M2
P01136,1,F0975,69.0,1,-0.98,B1,X2,M1
P01137,9,F0389,57.0,2,-2.25,A2,X1,M2
P01138,10,F0695,59.0,2,-1.40,B2,X2,M2
P01139,4,F0378,70.0,2,-0.30,B1,X2,M1
P01140,8,F0417,63.0,1,1.50,A1,X1,M1
P01141,4,F0413,57.0,2,0.28,B2,X2,M2
P01142,10,F0520,63.0,2,-1.29,B1,X2,M1
P01143,6,F0015,70.0,2,-0.47,A1,X1,M1
P01144,5,F0155,59.0,1,-0.23,A1,X1,M1
P01145,9,F0803,65.0,1,1.18,B1,X2,M1
P01146,6,F0922,64.0,1,-0.41,B2,X2,M2
P01147,11,F0967,70.0,1,0.20,B1,X2,M1
P01148,9,F0793,65.0,2,1.04,B2,X2,M2
P01149,12,F0091,62.0,1,-1.54,A1,X1,M1
P01150,10,F0280,72.0,1,-1.66,B1,X2,M1
P01151,11,F0624,68.0,1,-0.31,A1,X1,M1
P01152,7,F0890,64.0,1,-0.26,A2,X1,M2
P01153,3,F0955,68.0,1,0.19,A2,X1,M2
P01154,9,F0302,63.0,1,0.10,B1,X2,M1
P01155,4,F0780,55.0,2,-1.49,B2,X2,M2
P01156,11,F0960,62.0,1,-0.17,B1,X2,M1
P01157,12,F0510,57.0,1,0.18,B2,X2,M2
P01158,4,F1018,74.0,1,0.96,A1,X1,M1
P01159,4,F0900,50.0,1,-1.15,B1,X2,M1
P01160,9,F0532,65.0,1,-0.46,A2,X1,M2
P01161,11,F0988,68.0,2,0.14,B2,X2,M2
P01162,12,F0858,67.0,1,1.87,B2,X2,M2
P01163,12,F1020,61.0,1,-0.94,B1,X2,M1
P01164,9,F0577,60.0,2,-1.40,A2,X1,M2
P01165,9,F0903,67.0,1,1.13,A2,X1,M2
P01166,2,F0018,66.0,1,-0.38,A1,X1,M1
P01167,7,F0399,65.0,1,-1.02,A1,X1,M1
P01168,12,F0385,71.0,1,-0.17,A2,X1,M2
P01169,8,F0234,72.0,1,0.47,B1,X2,M1
P01170,4,F0330,65.0,2,0.95,B2,X2,M2
P01171,7,F0315,62.0,1,-0.55,A1,X1,M1
P01172,4,F0448,67.0,2,0.96,B2,X2,M2
P01173,2,F0205,50.0,1,1.68,B2,X2,M2
P01174,11,F0715,55.0,1,0.48,A1,X1,M1
P01175,5,F0950,64.0,1,0.15,B1,X2,M1
P01176,7,F0928,70.0,2,0.09,A2,X1,M2
P01177,9,F0361,71.0,1,-1.03,A1,X1,M1
P01178,5,F0586,61.0,2,-0.58,A1,X1,M1
P01179,10,F0694,58.0,2,0.77,B1,X2,M1
P01180,9,F0951,62.0,2,-2.29,A1,X1,M1
P01181,11,F0353,49.0,1,0.02,A2,X1,M2
P01182,7,F0003,69.0,1,1.28,B1,X2,M1
P01183,8,F0210,64.0,2,0.25,B1,X2,M1
P01184,3,F0243,62.0,1,-0.50,B2,X2,M2
P01185,1,F0203,69.0,2,2.78,B1,X2,M1
P01186,10,F0013,59.0,2,0.21,B2,X2,M2
P01187,2,F0343,65.0,2,-2.29,B2,X2,M2
P01188,9,F0980,58.0,1,-1.29,A2,X1,M2
P01189,1,F0722,73.0,1,0.29,A1,X1,M1
P01190,8,F0131,70.0,1,-0.30,A1,X1,M1
P01191,9,F1049,69.0,2,-0.07,A2,X1,M2
P01192,6,F0211,69.0,2,-0.39,A2,X1,M2
P01193,9,F0225,60.0,2,0.15,A1,X1,M1
P01194,10,F0156,53.0,2,-0.31,A2,X1,M2
P01195,5,F0132,62.0,2,0.38,B2,X2,M2
P01196,9,F1015,50.0,2,0.86,A2,X1,M2
P01197,1,F0960,61.0,1,2.26,A1,X1,M1
P01198,5,F0688,63.0,2,0.18,B1,X2,M1
P01199,5,F0920,69.0,2,0.02,B1,X2,M1
P01200,11,F0023,60.0,2,0.51,A2,X1,M2
