pid,msu_t0,msu_t1,coop_ms_t0,coop_ms_t1,share_t0,share_t1
P01103,0,2.0,0.336,0.388,0.378,0.607
P01104,2,2.0,0.000,0.038,0.421,0.416
P01105,2,3.0,0.000,0.000,0.497,0.436
P01106,3,9.0,0.036,0.288,0.523,0.567
P01107,2,5.0,0.879,1.000,0.508,0.413
P01108,3,7.0,0.014,0.038,0.318,0.409
P01109,3,5.0,0.691,0.997,0.290,0.304
P01110,4,10.0,0.000,0.050,0.129,0.016
P01111,1,1.0,0.000,0.225,0.000,0.000
P01112,5,12.0,0.823,0.876,0.301,0.421
P01113,2,4.0,0.031,0.000,0.645,0.642
P01114,3,,0.000,,0.412,
P01115,3,3.0,0.000,0.000,0.394,0.491
P01116,1,7.0,0.000,0.105,0.587,0.565
P01117,1,1.0,0.000,0.000,0.190,0.133
P01118,0,4.0,0.000,0.094,0.122,0.261
P01119,0,3.0,0.000,0.000,0.197,0.208
P01120,4,5.0,0.129,0.297,0.454,0.405
P01121,1,4.0,0.000,0.021,0.263,0.147
P01122,0,3.0,0.000,0.276,0.036,0.000
P01123,1,2.0,0.066,0.065,0.428,0.575
P01124,2,3.0,0.000,0.175,0.286,0.142
P01125,2,4.0,0.202,0.315,0.367,0.369
P01126,2,3.0,0.704,0.863,0.537,0.665
P01127,3,11.0,0.190,0.270,0.522,0.407
P01128,2,3.0,0.000,0.149,0.399,0.584
P01129,0,1.0,0.107,0.000,0.508,0.441
P01130,2,4.0,0.963,0.875,0.810,0.852
P01131,1,2.0,0.448,0.435,0.425,0.235
P01132,0,1.0,0.000,0.034,0.181,0.330
P01133,1,3.0,0.000,0.000,0.099,0.038
P01134,1,2.0,0.000,0.188,0.293,0.423
P01135,2,2.0,0.000,0.000,0.186,0.126
P01136,1,7.0,0.003,0.176,0.476,0.392
P01137,0,1.0,0.000,0.000,0.000,0.000
P01138,1,1.0,0.000,0.000,0.425,0.378
P01139,1,4.0,0.036,0.039,0.377,0.424
P01140,3,9.0,0.086,0.102,0.330,0.492
P01141,3,4.0,0.347,0.361,0.539,0.495
P01142,3,5.0,0.656,0.619,0.307,0.203
P01143,3,7.0,0.197,0.109,0.269,0.406
P01144,0,,0.000,,0.151,
P01145,4,5.0,0.300,0.262,0.295,0.335
P01146,2,2.0,0.118,0.000,0.322,0.358
P01147,1,5.0,0.993,1.000,0.705,1.000
P01148,2,5.0,0.000,0.000,0.285,0.297
P01149,2,5.0,0.132,0.294,0.280,0.318
P01150,2,,0.137,,0.379,
P01151,1,6.0,0.450,0.538,0.618,0.732
P01152,2,2.0,0.000,0.000,0.355,0.273
P01153,0,0.0,0.452,0.323,0.529,0.606
P01154,2,5.0,0.217,0.303,0.703,0.701
P01155,0,,0.000,,0.320,
P01156,3,7.0,0.331,0.314,0.505,0.677
P01157,3,3.0,0.000,0.032,0.578,0.634
P01158,4,7.0,0.562,0.694,0.917,0.847
P01159,0,,0.000,,0.246,
P01160,0,3.0,0.000,0.178,0.553,0.499
P01161,2,4.0,0.451,0.467,0.621,0.322
P01162,3,5.0,0.047,0.161,0.365,0.397
P01163,1,4.0,0.000,0.048,0.394,0.389
P01164,1,1.0,0.017,0.000,0.235,0.174
P01165,0,0.0,0.000,0.265,0.264,0.272
P01166,3,5.0,0.568,0.579,0.580,0.558
P01167,3,9.0,0.102,0.109,0.530,0.484
P01168,8,11.0,0.673,0.813,0.264,0.357
P01169,1,5.0,0.185,0.175,0.280,0.282
P01170,0,2.0,0.000,0.000,0.564,0.579
P01171,1,3.0,0.063,0.188,0.449,0.559
P01172,2,3.0,0.551,0.702,0.426,0.464
P01173,4,5.0,0.453,0.661,0.233,0.211
P01174,3,9.0,0.306,0.257,0.217,0.278
P01175,0,,0.049,,0.193,
P01176,2,3.0,0.000,0.067,0.442,0.492
P01177,3,,0.386,,0.461,
P01178,1,3.0,0.000,0.000,0.309,0.437
P01179,5,,0.621,,0.618,
P01180,1,,0.000,,0.000,
P01181,0,0.0,0.000,0.019,0.406,0.544
P01182,2,7.0,0.558,0.354,0.675,0.916
P01183,4,8.0,0.251,0.275,0.268,0.364
P01184,2,2.0,0.000,0.004,0.452,0.295
P01185,3,6.0,0.631,0.585,0.382,0.441
P01186,3,4.0,0.000,0.041,0.460,0.441
P01187,0,0.0,0.000,0.101,0.498,0.283
P01188,1,4.0,0.000,0.104,0.030,0.048
P01189,3,10.0,0.000,0.000,0.415,0.539
P01190,4,6.0,0.832,0.964,0.400,0.476
P01191,2,3.0,0.000,0.000,0.115,0.000
P01192,1,1.0,0.000,0.067,0.351,0.556
P01193,5,9.0,0.000,0.000,0.654,0.587
P01194,2,3.0,0.166,0.086,0.543,0.407
P01195,2,2.0,0.000,0.213,0.355,0.379
P01196,0,1.0,0.000,0.000,0.316,0.130
P01197,2,7.0,0.172,0.246,0.362,0.300
P01198,0,7.0,0.009,0.177,0.412,0.294
P01199,1,8.0,0.000,0.072,0.324,0.496
P01200,3,4.0,0.093,0.284,0.506,0.313
